h5ad_var	index
WSCD2	1276
KCNQ2	1277
TACR2	1278
ACTR6	1279
TIPIN	1280
SRI	1281
EIF4G3	1282
NUP37	1283
SEMA3A	1284
GTSE1	1285
SEMA3C	1286
TTC38	1287
ACAT1	1288
GRAMD4	1289
CELSR1	1290
WNT8B	1291
ZNF638	1292
SLC25A40	1293
TIMM21	1294
ADD2	1295
FGF4	1296
RASAL2	1297
VPS9D1	1298
ZNF37A	1299
MARK3	1300
SLC25A3	1301
FNDC3B	1302
FOSL2	1303
CACNG5	1304
CACNG4	1305
FRYL	1306
TMEM131	1307
FSCN1	1308
ACTB	1309
MOCOS	1310
PLD1	1311
ATP12A	1312
WDR62	1313
DLG1	1314
RAB7A	1315
BCAP29	1316
SEC31B	1317
SART3	1318
ARHGAP15	1319
TUBA3D	1320
PAX2	1321
EXOSC7	1322
KIFAP3	1323
MKRN2	1324
MCM6	1325
REXO2	1326
RBM7	1327
RBMS2	1328
BAZ2A	1329
PTPN23	1330
MLH1	1331
UNG	1332
FMO4	1333
KLHL20	1334
RGS11	1335
SLC46A1	1336
PLXNA2	1337
SPAG5	1338
ANKRD13A	1339
TPD52	1340
ACACB	1341
TRAF4	1342
PAG1	1343
GPATCH1	1344
ICAM3	1345
NT5C2	1346
MCAM	1347
GPC4	1348
MBNL3	1349
CAMSAP3	1350
RAP1GAP	1351
XAB2	1352
ARHGEF1	1353
STXBP2	1354
MAP2K7	1355
NMRK2	1356
DGKD	1357
CTTNBP2	1358
ACTL6B	1359
RARB	1360
TOP2B	1361
TM9SF3	1362
NFKB2	1363
UBE2T	1364
PPP1R12B	1365
DNAJC10	1366
GTF3C1	1367
IL4R	1368
USP33	1369
PAK3	1370
CAPN6	1371
DCX	1372
SNRPA	1373
SPAG6	1374
EXOSC5	1375
DYNC1I2	1376
APBB1IP	1377
LRCH4	1378
FAM76B	1379
SIRT6	1380
TYR	1381
POLD3	1382
ACTN2	1383
CAPZB	1384
GPR137B	1385
NAALAD2	1386
JADE1	1387
SLC25A43	1388
UBE2A	1389
FGFR1	1390
FKBP6	1391
SMC1B	1392
FBLN1	1393
ITGA8	1394
CST7	1395
MAP2	1396
PIAS2	1397
AMPH	1398
ARAF	1399
MCCC1	1400
LAMP3	1401
FAP	1402
NEBL	1403
ACER3	1404
UBE2K	1405
PIK3C3	1406
N4BP2	1407
TIGAR	1408
TULP3	1409
SYNJ2	1410
ADCY2	1411
PPP2R5C	1412
RBFOX1	1413
GNB1	1414
HOXA9	1415
EDN1	1416
MLLT10	1417
ZCWPW1	1418
ADCYAP1R1	1419
FGF20	1420
P2RY10	1421
